fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,constraint
1,0.8095238095238095,0.8196802959870979,0.8154501374676025,0.8162649359143579,0.09468114731272625,0.25459317585301844,0.1434322088415419,dp
2,0.8129251700680272,0.8185118550966486,0.8150755347183919,0.8165789798997167,0.012840086122528904,0.19504569504569502,0.11830786090375742,dp
3,0.8248299319727891,0.8305426367383313,0.8260036694534177,0.8259864034800096,0.05287583181084721,0.18326947637292468,0.11167601130337639,dp
4,0.7993197278911565,0.8035801564027371,0.798736802413273,0.8009260312836618,0.10956565804739488,0.27944051737103326,0.18214796035979364,dp
5,0.814625850340136,0.8305258042476207,0.8088267794091442,0.8171559779498816,0.08706204736739087,0.2871264367816092,0.18285323042449894,dp
6,0.8228279386712095,0.829243830741858,0.8223189992305434,0.822949494949495,0.03193596526929865,0.15077376565954304,0.08695122261110036,dp
7,0.8296422487223168,0.8352102915148764,0.832682711194417,0.8306640630472159,0.011418284685611402,0.11196854979615611,0.07965991080306019,dp
8,0.7904599659284497,0.8098594116081461,0.7844440784658175,0.7936831387726194,0.036182818451121423,0.20363466915191053,0.1555098871783916,dp
9,0.8245315161839863,0.8322801685063723,0.8261448530445635,0.8287420930329291,0.050056038105912026,0.3040843214756258,0.18357168485049793,dp
10,0.817717206132879,0.8263565891472869,0.8122968497385802,0.8183396399305584,0.09458486642137257,0.21324863883847556,0.1346770801885308,dp
