fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds
1,0.9797297297297297,0.9787234042553191,0.9855072463768115,0.9816035816035816,0.08034782608695654,0.0,0.0
2,0.9797297297297297,0.9797235023041475,0.9760170006071646,0.9777854116569334,0.19674796747967482,0.07692307692307687,0.0333068992862807
3,0.9797297297297297,0.9787018255578094,0.9713675213675214,0.9748394771248251,0.1978784169726642,0.08695652173913049,0.03876127973748977
4,0.9659863945578231,0.9669818650950726,0.9651515151515152,0.9656502987470296,0.13109756097560976,0.06451612903225812,0.026823281907433407
5,0.9931972789115646,0.9954954954954954,0.9885057471264368,0.9918844730874806,0.20706106870229007,-0.1428571428571429,-0.07142857142857145
6,0.9659863945578231,0.9515960973761485,0.9554910498306725,0.9532998562746532,-0.008144796380090497,0.08333333333333337,0.06556603773584907
7,0.9931972789115646,0.9938271604938271,0.9946236559139785,0.9941747081022211,0.2495232040686586,0.0,0.0
8,0.9863945578231292,0.9879792072774528,0.9848181514848182,0.9863110979407904,0.15370370370370368,-0.09090909090909094,-0.04545454545454547
9,0.9523809523809523,0.9578924162257495,0.9476178957311032,0.951038640675456,0.07818181818181819,0.1428571428571429,0.07142857142857145
10,1.0,1.0,1.0,1.0,0.07142857142857142,0.0,0.0
