fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint
1,0.8283775048480931,0.7900005006007209,0.6986182896620295,0.7253483936553662,-0.057331258129760365,0.22090773809523806,0.10835440569093557,-0.057331258129760365,0.22090773809523806,0.10835440569093557,cp
2,0.8177117000646412,0.768696584647386,0.7082936193298002,0.7287336938577167,-0.021312765475514972,0.2998207466292573,0.16407664230989377,-0.021312765475514972,0.2998207466292573,-0.16407664230989377,cp
3,0.8270846800258564,0.7752450479885644,0.705614426795592,0.7287329031293822,-0.032581360946745574,0.16492361760621266,0.09486997672462127,-0.032581360946745574,0.16492361760621266,-0.09486997672462127,cp
4,0.8341952165481578,0.7976153125777938,0.7142161547212742,0.7405208964264083,-0.08703508814288062,0.08407811982787161,0.03233895470522062,-0.08703508814288062,0.08407811982787161,0.03233895470522062,cp
5,0.8228829993535876,0.7659596392370396,0.6991064825690149,0.721289302779427,-0.04505060088551552,0.18389277952185468,0.09177111595177805,-0.04505060088551552,0.18389277952185468,0.09177111595177805,cp
6,0.8354880413703943,0.8081930332478932,0.7014816643321315,0.7312323374645682,-0.07641063631567722,0.08118600844973928,0.028954500173967904,-0.07641063631567722,0.08118600844973928,0.028954500173967904,cp
7,0.8406593406593407,0.8168389460920595,0.7154195643943169,0.7453258572204468,-0.11569213389664267,0.024685052774940375,-0.00035197941634436056,-0.11569213389664267,0.025389011607629075,-0.00035197941634436056,cp
8,0.8312863606981254,0.7967309995680107,0.7162962652236531,0.7417193760842532,-0.12050451694832379,0.06053716261135489,0.006058137869529752,-0.12050451694832379,0.06053716261135489,0.006058137869529752,cp
9,0.8274078862314156,0.7937424197971703,0.6986454763386541,0.7257028445822777,-0.10910966114026532,-0.06295681063122927,-0.04664256387335771,-0.10910966114026532,-0.06295681063122927,-0.04664256387335771,cp
10,0.8235294117647058,0.7841133256659878,0.6956315297700707,0.7212778173754653,-0.10901359885320211,-0.005966514459665118,-0.01954392768066319,-0.10901359885320211,0.0331213409016613,0.019543927680663264,cp
