fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,difference_bound
1,0.6828193832599119,0.6570643312942459,0.6634120455610526,0.6586876223878096,0.0684349000924411,0.0033836783659909,0.0244214346045005,0.0684349000924411,0.0033836783659909,0.0244214346045005,eo,0.0
2,0.6960352422907489,0.6727927448711052,0.6862152084231674,0.6753884027465366,0.0711395304447413,-0.0238950356253258,0.0109651010847802,0.0711395304447413,-0.0480486909713725,0.0109651010847802,eo,0.0
3,0.6950562897699462,0.6711332177008867,0.6870223307148854,0.6731664190651325,0.0595920400904799,-0.0558182447237919,-0.0103104616567245,0.0595920400904799,-0.0558182447237919,0.0270568142009904,eo,0.0
4,0.6867351933431228,0.6575209675561788,0.6708736151110549,0.6603906518869466,0.0581842475142723,0.0150415223010504,0.024322932625701,0.0581842475142723,0.065625,0.0592085229491454,eo,0.0
5,0.6930983847283406,0.6607208103026809,0.6733358934971839,0.6568165877514058,0.0550695232954228,0.0024330900243308,0.0258752692613587,0.0550695232954228,-0.0254657962736298,0.0258752692613587,eo,0.0
6,0.6979931473323544,0.6754024859772385,0.6918057449963694,0.6773457670187173,0.0552808862607133,-0.0149612610205717,0.0041424575570253,0.0552808862607133,-0.0149612610205717,0.0290105916510932,eo,0.0
7,0.6622613803230544,0.638196246846328,0.654196392320631,0.6417869264604539,0.0384473375512009,0.0975071446761551,0.0419607984912609,0.0384473375512009,0.0975071446761551,0.0419607984912609,eo,0.0
8,0.6714005876591577,0.647765863298859,0.6610392715703658,0.6507312707057483,-0.0180989827123509,-0.0729440916834442,-0.0568723067041987,-0.0180989827123509,0.1261595547309832,0.0812838589981446,eo,0.0
9,0.6767874632713027,0.6481063120411764,0.6640658861968536,0.6505251794451697,0.0472084120881746,-0.0376554174067496,0.0006063456144004,0.0472084120881746,-0.0436713380344551,0.037238594375072,eo,0.0
10,0.6998041136141038,0.6732647808455666,0.6861559785773648,0.6695007031090398,0.0323000588292485,0.0169303797468354,0.0113471842703284,0.0323000588292485,0.0190031897926634,0.0273731972876057,eo,0.0
1,0.7033773861967695,0.6750440570349124,0.6849516569648539,0.6735940622520036,0.0219209983645025,-0.0329139622873665,-0.0197896118620113,0.0219209983645025,0.1399235069137981,0.0929770206324716,eo,0.005
2,0.6852667645619187,0.6621654141270686,0.6715833349979691,0.664588206874713,0.0686633465789793,-0.0385216937959798,0.0052111866484422,0.0686633465789793,-0.0416258869586493,0.0092546415021948,eo,0.005
