fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,difference_bound
1,0.7181208053691275,0.709531116794544,0.7022177478059831,0.6970863193590021,-0.0055370985603543,-0.1071428571428571,-0.0463048855905998,-0.0055370985603543,-0.2631578947368421,-0.1338949535444375,eo,0.0
2,0.6174496644295302,0.6134786739199958,0.6135857135436378,0.6119277661604612,0.1413121845710165,0.3833333333333333,0.2199533045977011,0.1413121845710165,0.3833333333333333,0.2199533045977011,eo,0.0
3,0.6912751677852349,0.6511858288770054,0.6629794313369631,0.6485592247864338,0.0580470162748643,0.0777777777777778,0.0301457194899818,0.0580470162748643,0.4055555555555555,0.2327777777777777,eo,0.0
4,0.6577181208053692,0.6273166891587945,0.642166699455702,0.6294461859979101,0.0202239075478512,0.0,0.0055702917771883,0.0202239075478512,-0.3684210526315789,-0.1584073388632217,eo,0.0
5,0.6241610738255033,0.5847381068752038,0.6107144563918757,0.5840117430462259,0.0246704331450094,-0.040133779264214,-0.0119552737982329,0.0246704331450094,0.2352941176470588,0.0758415877117427,eo,0.0
6,0.6711409395973155,0.68989898989899,0.6746009348267042,0.6734465534465535,-0.0227848101265822,-0.2979797979797979,-0.1582980401402184,-0.0227848101265822,0.3653846153846153,0.2833606452027504,eo,0.0
7,0.6040268456375839,0.5772420263271123,0.5981288515406162,0.5754221334572655,0.1004958047292143,-0.0085470085470085,0.0070901320901321,0.1004958047292143,-0.6190476190476191,-0.3404803822937626,eo,0.0
8,0.5973154362416108,0.5880131362889983,0.6292613995200202,0.5936163634475837,-0.0126262626262626,0.1181818181818182,0.0405180840664712,-0.0126262626262626,-0.303030303030303,-0.1826349070027869,eo,0.0
9,0.6174496644295302,0.5706358754027926,0.5786795405030699,0.5740509593621157,0.0783676417479234,0.2,0.099615975422427,0.0783676417479234,0.5666666666666667,0.2927871148459384,eo,0.0
10,0.5570469798657718,0.5564282141964062,0.5823598339719029,0.5589602587406023,0.132072072072072,0.111111111111111,0.0840305892937471,0.132072072072072,0.3,0.2154808959156785,eo,0.0
1,0.6577181208053692,0.6255697795748011,0.6411131396425513,0.6293238102302712,-0.0171650055370985,-0.1571428571428571,-0.0713048855905998,-0.0171650055370985,-0.2941176470588235,-0.1450825389444315,eo,0.005
2,0.6040268456375839,0.6006701975175611,0.6098590796767515,0.6026529790269515,0.1418529199711607,0.3,0.1869073275862069,0.1418529199711607,0.3,0.1869073275862069,eo,0.005
3,0.6845637583892618,0.6217261904761904,0.6632667876588022,0.6235330432385131,0.0580470162748643,0.0777777777777778,0.0301457194899818,0.0580470162748643,-0.1999999999999999,-0.1437140637140636,eo,0.005
4,0.6845637583892618,0.6577064558089226,0.6652615472052812,0.6579798283907873,0.033044420368364,0.0769230769230769,0.0440318302387268,0.033044420368364,0.5294117647058822,-0.2549229765534504,eo,0.005
5,0.6442953020134228,0.6084485407066053,0.6314623655913978,0.6108145348951883,0.0357815442561205,0.0033444816053511,0.0097838566365496,0.0357815442561205,0.4772727272727273,0.2612554112554112,eo,0.005
6,0.6510067114093959,0.668104057964739,0.664608872034571,0.6507326423145855,-0.0211573236889692,-0.3535353535353535,-0.1776012416468098,-0.0211573236889692,-0.3535353535353535,0.2439532324400745,eo,0.005
7,0.6308724832214765,0.5915671909789557,0.6207955182072828,0.5998007745515501,0.0787566742944317,-0.0085470085470085,-0.008061383061383,0.0787566742944317,-0.2857142857142857,-0.1805625419181757,eo,0.005
8,0.6510067114093959,0.6554817931536026,0.6864145193886573,0.6437105992190738,-0.0256132756132756,0.0181818181818181,-0.0089931573802541,-0.0256132756132756,0.3232323232323232,0.1714800126859032,eo,0.005
9,0.6375838926174496,0.5713650793650793,0.5852749059219647,0.5767652424795282,0.0783676417479234,0.2,0.099615975422427,0.0783676417479234,0.5666666666666667,0.2854341736694678,eo,0.005
10,0.6308724832214765,0.632391899288451,0.651933908045977,0.6342408523359259,0.145045045045045,0.0,0.0470985155195681,0.145045045045045,0.35,0.2132081686429512,eo,0.005
1,0.6510067114093959,0.5832696042466876,0.6305144511026863,0.5977100538990836,-0.0171650055370985,-0.1071428571428571,-0.0538806431663574,-0.0171650055370985,0.525,0.3094696969696969,eo,0.01
2,0.6174496644295302,0.6138039867109635,0.6227623054832031,0.6175861255750817,0.1418529199711607,0.3,0.1869073275862069,0.1418529199711607,0.3,0.1869073275862069,eo,0.01
3,0.7046979865771812,0.6656028368794326,0.6731349926540489,0.6603471577604353,0.0564195298372513,-0.0222222222222222,-0.0116575591985428,0.0564195298372513,0.7,0.4228571428571428,eo,0.01
