fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,difference_bound
1,0.5973154362416108,0.5987038451744334,0.5737863752569635,0.5655054976282597,-0.0171650055370985,-0.0857142857142857,-0.0457946815089672,-0.0171650055370985,0.2631578947368421,0.132247396566282,cp,0.0
2,0.6040268456375839,0.6116690716690717,0.607444733854271,0.6087971387550867,0.1418529199711607,0.3,0.1869073275862069,0.1418529199711607,0.3,0.1869073275862069,cp,0.0
3,0.2684563758389262,0.1906375606375606,0.2393375680580762,0.2037447988904299,0.0,0.0,0.0,0.0,-0.4388888888888889,-0.188015873015873,cp,0.0
4,0.4093959731543624,0.3439268401819673,0.4142028985507246,0.3657580930049687,0.0279884434814012,0.0769230769230768,0.043103448275862,0.0279884434814012,-0.3684210526315789,-0.2885616520430852,cp,0.0
5,0.1812080536912751,0.2775862068965517,0.1895555555555555,0.1199532629723983,-0.0169491525423728,-0.0769230769230769,-0.0384615384615384,-0.0169491525423728,0.3680555555555556,0.2434593023255813,cp,0.0
6,0.5503355704697986,0.5945990470246764,0.5545197989240673,0.562938296493628,0.0249547920433996,-0.0454545454545454,-0.0232829826466947,0.0249547920433996,0.2894736842105263,0.1697368421052631,cp,0.0
7,0.5369127516778524,0.510327313381493,0.515484593837535,0.5071491356418333,0.1573226544622425,0.0641025641025641,0.0765588578088578,0.1573226544622425,-0.0999999999999999,0.0765588578088578,cp,0.0
8,0.3020134228187919,0.2219872218550341,0.3232142857142857,0.2474641148325359,0.0057720057720057,-0.5181818181818181,-0.2141251221896382,0.0057720057720057,-0.5181818181818181,-0.3090102058029689,cp,0.0
9,0.3892617449664429,0.3240232619614063,0.2969998019409784,0.2767885532591415,0.0128205128205128,0.0,0.0079365079365079,0.0128205128205128,0.3333333333333333,-0.1975490196078431,cp,0.0
10,0.5369127516778524,0.5346353083853084,0.5607043422733078,0.5401914123661098,0.1589189189189189,0.2222222222222222,0.1483580746738641,0.1589189189189189,0.4291497975708501,0.2703418777081417,cp,0.0
1,0.3221476510067114,0.1841719077568134,0.3073977823977824,0.2255148453528432,0.0,0.0,0.0,0.0,0.3128654970760234,0.2105771335647496,cp,0.005
2,0.2080536912751678,0.069701280227596,0.1697826086956521,0.0977526870046683,0.0,0.0,0.0,0.0,0.4482758620689655,0.3591756798333846,cp,0.005
3,0.261744966442953,0.1640976390556222,0.2212038717483363,0.1582489055659787,0.0,0.0,0.0,0.0,-0.3,-0.1685714285714285,cp,0.005
4,0.6510067114093959,0.6439396948990943,0.6416272105274663,0.6402936097439472,0.0586854460093896,0.3076923076923077,0.1507957559681697,0.0586854460093896,0.7647058823529411,0.3352976892031858,cp,0.005
5,0.3892617449664429,0.3609516214779372,0.3756057347670251,0.358267111192303,0.1421845574387947,-0.1036789297658862,0.0492312684071282,0.1421845574387947,0.2760180995475113,0.0492312684071282,cp,0.005
6,0.2147651006711409,0.168517313308302,0.2107416879795396,0.1686007736427904,0.0996383363471971,0.0,0.0652959155320922,0.0996383363471971,-0.3,-0.2246153846153846,cp,0.005
7,0.261744966442953,0.2286479274150507,0.2462521008403361,0.1887870168569071,-0.087719298245614,-0.2222222222222222,-0.1423611111111111,-0.087719298245614,-0.4117647058823529,-0.1423611111111111,cp,0.005
8,0.3691275167785235,0.1566464646464646,0.3642857142857142,0.2156586416128401,0.0,0.0,0.0,0.0,-0.0974358974358974,-0.2358067645074223,cp,0.005
9,0.2885906040268456,0.1201960784313725,0.187834422657952,0.141963538370455,0.0,0.0,0.0,0.0,0.1333333333333333,0.1791979949874686,cp,0.005
10,0.4026845637583892,0.4675748779522364,0.426375478927203,0.3861183368429745,0.1063063063063063,0.1666666666666666,0.1096491228070175,0.1063063063063063,0.291497975708502,-0.2295745903995401,cp,0.005
1,0.6241610738255033,0.6281503007048578,0.5975503299032712,0.6026756260308892,-0.0636766334440752,-0.1857142857142857,-0.1109461966604823,-0.0636766334440752,-0.5894736842105264,-0.3142942275916245,cp,0.01
2,0.5771812080536913,0.5684497354497354,0.5759770178914639,0.563425925925926,0.101297764960346,0.2333333333333332,0.1371408045977011,0.101297764960346,-0.2675438596491228,-0.1621284113060429,cp,0.01
3,0.2751677852348993,0.4548193473193473,0.2492208970702618,0.2119790454199162,-0.0285714285714285,-0.1,-0.0583333333333333,-0.0285714285714285,-0.2553846153846154,0.2468091168091168,cp,0.01
4,0.4161073825503356,0.4433813342875526,0.4295457625636654,0.3946727921107916,0.1625135427952329,0.5384615384615384,0.3074270557029177,0.1625135427952329,0.5384615384615384,-0.3515717576257872,cp,0.01
5,0.5234899328859061,0.5795660660660661,0.5075077658303464,0.5215217381478618,0.0252354048964218,-0.1270903010033445,-0.0411570908001797,0.0252354048964218,-0.56,-0.2744669365721998,cp,0.01
6,0.348993288590604,0.4443849206349206,0.3206367404533027,0.2955207993917671,-0.0730560578661844,-0.308080808080808,-0.1709895565827769,-0.0730560578661844,-0.308080808080808,-0.1709895565827769,cp,0.01
7,0.2751677852348993,0.415736179529283,0.2537254901960785,0.2788694033567409,0.116323417238749,-0.0299145299145298,0.0617472804972804,0.116323417238749,-0.4444444444444444,-0.2430555555555555,cp,0.01
8,0.3959731543624161,0.2713736263736264,0.4223214285714285,0.3064322469982847,-0.1008297258297258,-0.3272727272727272,-0.1963831867057673,-0.1008297258297258,-0.36,-0.1963831867057673,cp,0.01
9,0.6241610738255033,0.5826761473820298,0.5769728659140425,0.5732423739796494,0.0296135789093535,0.0888888888888889,0.0361239119303635,0.0296135789093535,0.3,0.1153361344537815,cp,0.01
10,0.2281879194630872,0.1582373442022565,0.2412567049808429,0.1567919988677643,0.0,0.0,0.0,0.0,0.55,0.464459815546772,cp,0.01
1,0.3288590604026846,0.3503733318317472,0.3172319863496334,0.2861780837135755,-0.0286083425618309,0.1,0.0167594310451453,-0.0286083425618309,-0.3660130718954248,0.1752705069268536,cp,0.015
2,0.6174496644295302,0.5937590187590188,0.6127392640085486,0.5883335506301608,0.1281542898341744,0.3,0.1782866379310345,0.1281542898341744,0.3,0.1782866379310345,cp,0.015
3,0.3959731543624161,0.4535926806113141,0.3619687148906749,0.3381680322856794,0.1122965641952983,0.3444444444444444,0.188615664845173,0.1122965641952983,0.3444444444444444,0.188615664845173,cp,0.015
4,0.3154362416107382,0.2608721624850657,0.3256335934596803,0.2888888888888889,0.0446009389671361,-0.2307692307692307,-0.0648541114058355,0.0446009389671361,0.3448275862068966,0.3362300238210874,cp,0.015
5,0.3221476510067114,0.3497113997113997,0.3161696535244922,0.3052178783637423,0.0930320150659133,-0.1237458193979933,0.0127539559726451,0.0930320150659133,-0.88,-0.32110661268556,cp,0.015
6,0.2348993288590604,0.1575289575289575,0.2181497486550842,0.1683831251582587,0.0,0.0,0.0,0.0,-0.4848484848484849,0.1219780219780219,cp,0.015
7,0.3892617449664429,0.4999145299145299,0.3737478991596639,0.3928739002932551,0.0945842868039664,-0.2863247863247863,-0.065510878010878,0.0945842868039664,-0.8,-0.259508547008547,cp,0.015
8,0.3154362416107382,0.4169603112258258,0.3271164898320071,0.2813766389408055,0.0102813852813852,0.0727272727272727,0.0358748778103616,0.0102813852813852,-0.5454545454545454,-0.3459420546111293,cp,0.015
9,0.0604026845637583,0.101985111662531,0.0630374331550802,0.0668288177339901,0.0,0.0,0.0,0.0,-0.375,0.3396008403361344,cp,0.015
10,0.436241610738255,0.4395676029396959,0.4659728607918263,0.4205285600607356,0.1581981981981982,0.1111111111111111,0.094961763382816,0.1581981981981982,0.6000000000000001,0.3148880105401845,cp,0.015
1,0.5771812080536913,0.6074651226909291,0.5587088057676294,0.5645529463432276,-0.110188261351052,-0.5571428571428572,-0.2713048855905999,-0.110188261351052,-0.5571428571428572,-0.2713048855905999,cp,0.02
