fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,difference_bound
1,0.445,0.3900547842656867,0.381136090726608,0.3770122879338345,0.3801157503100454,0.1515151515151516,0.1796932139397893,0.3801157503100454,-0.2525252525252525,0.1796932139397893,eo,0.0
2,0.465,0.5039789667696645,0.4299221910986617,0.4001728471488207,0.2830930537352556,-0.059090909090909,0.0578239661572995,0.2830930537352556,0.2679738562091502,0.1653204594381064,eo,0.0
3,0.455,0.4065754673962608,0.4573763955342903,0.4033972611059158,0.3419012647898816,0.2166666666666666,0.18464734950584,0.3419012647898816,0.3055555555555556,0.18464734950584,eo,0.0
4,0.485,0.4417424700944828,0.443420051185045,0.4317435130005638,0.2301070963867481,-0.1594684385382059,-0.0297342192691029,0.2301070963867481,0.1736694677871148,-0.1042946348923155,eo,0.0
5,0.4170854271356783,0.3504938664008213,0.3899494949494949,0.3632801493234833,0.2466058763931104,0.4102564102564103,0.243006993006993,0.2466058763931104,-0.4797297297297297,0.243006993006993,eo,0.0
6,0.4472361809045226,0.4123259769771398,0.4153120682089161,0.4042675923110705,0.2825910931174089,0.7317073170731707,0.4173129519313626,0.2825910931174089,0.7317073170731707,0.4173129519313626,eo,0.0
7,0.457286432160804,0.4637060634401059,0.4584324447482342,0.4146318880565617,0.2977777777777778,0.0793650793650793,0.1255799755799755,0.2977777777777778,-0.380952380952381,-0.2027201085299677,eo,0.0
8,0.4422110552763819,0.4649185575746163,0.4070070038362721,0.3807379726367068,0.2775757575757576,-0.0272727272727273,0.0571902816284838,0.2775757575757576,0.1666666666666666,0.1067449563384522,eo,0.0
9,0.4170854271356783,0.3783181664981463,0.3974910519609852,0.3796238673386493,0.3044444444444444,0.3846153846153846,0.2586307163626751,0.3044444444444444,0.3846153846153846,0.2586307163626751,eo,0.0
10,0.4221105527638191,0.3857264957264957,0.4310873854827344,0.3878551336146272,0.3983838383838384,0.4121863799283154,0.3333878759544958,0.3983838383838384,0.4121863799283154,0.3333878759544958,eo,0.0
1,0.46,0.3798989898989898,0.3914007154308878,0.3726380507025668,0.3906572964034726,0.1878787878787878,0.2101603115301745,0.3906572964034726,-0.33125,0.2101603115301745,eo,0.005
2,0.45,0.4103269144648455,0.4145596016184251,0.3925827951229269,0.2537554188930336,-0.1045454545454546,0.0289238539238539,0.2537554188930336,0.326797385620915,-0.2772587770285979,eo,0.005
3,0.435,0.3948270440251572,0.439304226475279,0.3725574425574425,0.3272133822929416,0.0916666666666666,0.1216419586702605,0.3272133822929416,0.3285714285714286,0.1836655592469546,eo,0.005
4,0.495,0.4563005972655693,0.4498893957939245,0.4313830871970406,0.2465218696827144,-0.2093023255813954,-0.0518733850129199,0.2465218696827144,-0.2093023255813954,-0.1225545704454841,eo,0.005
5,0.4120603015075377,0.3488375189837955,0.3849494949494949,0.3607758232635191,0.2062816616008105,0.2179487179487179,0.1335955710955711,0.2062816616008105,-0.6047297297297297,-0.2879861345338828,eo,0.005
6,0.4623115577889447,0.4044598436389481,0.426645528525441,0.405303945217862,0.3219635627530364,0.2804878048780488,0.2103923919423526,0.3219635627530364,0.2804878048780488,0.2103923919423526,eo,0.005
7,0.457286432160804,0.4874353288987435,0.4596081111870586,0.4343694177858962,0.2375757575757575,-0.0063492063492063,0.0639194139194139,0.2375757575757575,-0.3095238095238095,-0.1713272056581916,eo,0.005
8,0.4371859296482412,0.4317262525683578,0.4014720961062424,0.3776641718747498,0.2675757575757576,-0.05,0.0458266452648475,0.2675757575757576,0.3333333333333333,0.1961758506473954,eo,0.005
9,0.4522613065326633,0.4203644592835093,0.4318562472698374,0.4124678749274218,0.3347474747474747,0.7948717948717948,0.4586042823156225,0.3347474747474747,0.7948717948717948,0.4586042823156225,eo,0.005
10,0.4070351758793969,0.3531313131313131,0.415724453840733,0.3631067821067821,0.3782828282828283,0.4121863799283154,0.3205859435873461,0.3782828282828283,0.4121863799283154,0.3205859435873461,eo,0.005
1,0.47,0.3892036729151066,0.4022757211334797,0.384532595068209,0.4150475403059115,0.1878787878787878,0.2238589416671608,0.4150475403059115,-0.425,-0.2671017699115044,eo,0.01
2,0.46,0.4832125712150928,0.4333706816059757,0.4165725585740837,0.2977114628490775,0.0954545454545454,0.1412695329361996,0.2977114628490775,0.2679738562091502,0.1585637026813497,eo,0.01
3,0.465,0.4137226082935038,0.4664274322169059,0.4128412615155337,0.3302733578131375,0.1833333333333333,0.1679806828391734,0.3302733578131375,0.3071428571428571,0.1679806828391734,eo,0.01
4,0.495,0.4581504472538955,0.4457171469900968,0.4222753795768336,0.3071764588129316,-0.2093023255813954,-0.012984496124031,0.3071764588129316,-0.2093023255813954,-0.1208250650840175,eo,0.01
5,0.4522613065326633,0.3991121316494451,0.4232323232323233,0.3977607184631879,0.2348530901722391,0.2435897435897436,0.161567599067599,0.2348530901722391,-0.4358108108108108,-0.2174532440742424,eo,0.01
6,0.457286432160804,0.3803991246264424,0.4170907975421386,0.3923058949827919,0.3421052631578947,0.2804878048780488,0.223705243964882,0.3421052631578947,0.2804878048780488,0.223705243964882,eo,0.01
7,0.4371859296482412,0.4585609905627192,0.4376999316473,0.4093447876363477,0.2475757575757575,0.0222222222222222,0.0782051282051282,0.2475757575757575,-0.3277310924369748,-0.1596975931465516,eo,0.01
8,0.4522613065326633,0.4235553206483439,0.4244961813254496,0.401109722162643,0.2576767676767676,0.0272727272727273,0.0755344374726397,0.2576767676767676,0.2777777777777778,0.1869165913881361,eo,0.01
9,0.4422110552763819,0.3959918980212323,0.4206427296047069,0.4010157133517903,0.3145454545454545,0.7692307692307693,0.4374504361617763,0.3145454545454545,0.7692307692307693,0.4374504361617763,eo,0.01
10,0.4070351758793969,0.3531313131313131,0.415724453840733,0.3631067821067821,0.3782828282828283,0.4121863799283154,0.3205859435873461,0.3782828282828283,0.4121863799283154,0.3205859435873461,eo,0.01
1,0.47,0.3890417771883289,0.3999311208362933,0.3821421497127465,0.447912360479537,0.3353535353535353,0.2965091225365197,0.447912360479537,-0.3625,0.2965091225365197,eo,0.015
2,0.475,0.4843648350544903,0.4405664488017429,0.4104592929939831,0.27391874180865,-0.059090909090909,0.0501316584649918,0.27391874180865,0.2679738562091502,0.1788339729516199,eo,0.015
3,0.44,0.3991688770999116,0.4429126794258373,0.3981373575304215,0.3274173806609547,0.1166666666666667,0.148292902066487,0.3274173806609547,0.3428571428571428,0.1797090506392832,eo,0.015
4,0.515,0.4840841248303935,0.4836988984088127,0.4680343790907691,0.2701431288159344,-0.1362126245847176,0.0013381321520856,0.2701431288159344,0.3157894736842105,0.1945247734721418,eo,0.015
5,0.4522613065326633,0.4044835028905975,0.4226767676767676,0.3981275257907825,0.2645390070921986,0.2435897435897436,0.1824009324009324,0.2645390070921986,-0.4358108108108108,-0.2138359534249388,eo,0.015
6,0.4371859296482412,0.375970695970696,0.4050573160734411,0.3782718369166818,0.3910931174089068,0.3292682926829268,0.2693448478263584,0.3910931174089068,0.3292682926829268,0.2693448478263584,eo,0.015
