fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.959731543624161,0.9607142857142856,0.9572128851540616,0.9574460724460725,0.006090808416389815,-0.050000000000000044,-0.02005256648113793,0.006090808416389815,0.15000000000000002,0.07500000000000001
2,0.9328859060402684,0.9378299120234604,0.9340002003606491,0.930620211989017,0.07606344628695025,0.0,0.018857758620689655,0.07606344628695025,-0.16666666666666663,-0.08692647871752347
3,0.9731543624161074,0.9718817204301076,0.9723640999049348,0.9719154563136225,0.07233273056057868,-0.05555555555555558,-0.02777777777777779,0.07233273056057868,-0.0714285714285714,-0.04404761904761903
4,0.9328859060402684,0.9325349560833432,0.9276335060222527,0.9296171595886493,-0.0373781148429036,-0.23076923076923073,-0.12214854111405833,-0.0373781148429036,-0.4473684210526315,-0.2321587867975022
5,0.959731543624161,0.9609736842105263,0.9568076463560334,0.9584006484409867,0.05743879472693034,0.0,0.014925373134328358,0.05743879472693034,-0.2222222222222222,-0.13436692506459946
6,0.9530201342281879,0.9522478333026001,0.9501543345974073,0.9510562565178029,0.08336347197106692,0.03535353535353536,0.025595634028532058,0.08336347197106692,0.19736842105263153,0.1070175438596491
7,0.9664429530201343,0.9679758950726693,0.9659047619047619,0.9664804610368737,0.09630053394355453,-0.07692307692307687,-0.041302447552447524,0.09630053394355453,0.1499999999999999,0.07499999999999996
8,0.9261744966442953,0.9197009905185656,0.9296648035872174,0.9229273416030631,0.04292929292929293,0.19999999999999996,0.10659824046920818,0.04292929292929293,0.19999999999999996,0.10659824046920818
9,0.9530201342281879,0.9535956727518593,0.9443073876015052,0.9454369219385867,0.0489346334416757,0.0,-0.008320532514080901,0.0489346334416757,0.3035714285714286,0.1517857142857143
10,0.9664429530201343,0.9683531746031747,0.9688457854406132,0.9684762094630515,0.13171171171171173,0.0,0.008771929824561403,0.13171171171171173,0.07999999999999996,0.04704225352112674
