fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.9864864864864865,0.9855072463768115,0.9856452726017944,0.9853285846938656,0.03686956521739129,-0.1428571428571429,-0.07142857142857145,0.03686956521739129,-0.1428571428571429,-0.07142857142857145
2,0.9864864864864865,0.9852762598664238,0.9852762598664238,0.9852762598664238,0.1886178861788618,0.038461538461538436,0.014076130055511487,0.1886178861788618,0.038461538461538436,0.014076130055511487
3,0.9797297297297297,0.9855072463768115,0.9666666666666667,0.9750487329434697,0.1529987760097919,-0.05590062111801242,-0.02795031055900621,0.1529987760097919,-0.05590062111801242,0.036111111111111115
4,0.9795918367346939,0.9818181818181818,0.9795454545454545,0.9802619568186034,0.13109756097560976,0.032258064516129004,0.016129032258064502,0.13109756097560976,0.04081632653061229,0.020408163265306145
5,0.9659863945578231,0.9576304693923966,0.9576304693923966,0.9576304693923966,0.129293893129771,-0.2857142857142857,-0.15203145478374835,0.129293893129771,-0.2857142857142857,-0.15203145478374835
6,1.0,1.0,1.0,1.0,-0.06696832579185522,0.0,0.0,-0.06696832579185522,0.0,0.0
7,0.9863945578231292,0.9878787878787879,0.9842069892473119,0.9858261281025508,0.25778766687857596,0.04761904761904767,0.023809523809523836,0.25778766687857596,0.04761904761904767,0.023809523809523836
8,0.9863945578231292,0.9879792072774528,0.9848181514848182,0.9863110979407904,0.15370370370370368,-0.09090909090909094,-0.04545454545454547,0.15370370370370368,-0.09999999999999998,-0.04545454545454547
9,0.9523809523809523,0.954527733475102,0.9476178957311032,0.9500757046354531,0.07018181818181818,0.1428571428571429,0.0658730158730159,0.07018181818181818,0.1428571428571429,0.0658730158730159
10,0.9931972789115646,0.9952380952380953,0.9871794871794872,0.9910659707528096,0.07936507936507936,0.04761904761904767,0.023809523809523836,0.07936507936507936,0.04761904761904767,0.023809523809523836
