fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds
1,0.912751677852349,0.9245021798044067,0.9083984113395879,0.9127662648234365,-0.018272425249169444,-0.050000000000000044,-0.03551329622758196,-0.018272425249169444,0.4,0.20757575757575758
2,0.9060402684563759,0.9192792792792794,0.908161691043879,0.9057226824899238,0.07714491708723864,0.0,0.020474137931034482,0.07714491708723864,-0.12121212121212122,-0.0809211518166742
3,0.9463087248322147,0.9480134505542853,0.9411736237144586,0.9423280738118143,0.09439421338155513,0.0,0.007923497267759563,0.09439421338155513,0.15999999999999992,0.07999999999999996
4,0.8993288590604027,0.8978597612065353,0.8949509257437647,0.894130582271773,-0.006681112314915139,-0.07692307692307698,-0.0424403183023873,-0.006681112314915139,-0.6973684210526315,-0.35817067650152445
5,0.9060402684563759,0.9160100642047191,0.90352688172043,0.9081786519491437,0.03465160075329565,-0.08695652173913049,-0.02790395846852696,0.03465160075329565,0.42000000000000004,0.2176923076923077
6,0.8859060402684564,0.9019125188536954,0.8852456124878737,0.888063230342642,0.06256781193490055,0.03535353535353536,0.01600963791850149,0.06256781193490055,0.5,0.25
7,0.8993288590604027,0.9127800600622009,0.8937591036414567,0.9005693902274869,0.0194508009153318,-0.11538461538461542,-0.09746503496503497,0.0194508009153318,0.2941176470588235,0.1530112044817927
8,0.9463087248322147,0.9448275862068964,0.9520722811671087,0.9430210772833723,-0.02651515151515152,0.0,-0.01759530791788856,-0.02651515151515152,0.18181818181818177,0.09090909090909088
9,0.9395973154362416,0.934089068825911,0.9329784115666468,0.929930520300678,0.06175514626218853,0.0,-0.0003840245775729653,0.06175514626218853,0.3035714285714286,0.14384920634920637
10,0.912751677852349,0.9185281385281385,0.9142362707535121,0.9140167945989462,0.1715315315315315,-0.05555555555555558,0.017161493477282935,0.1715315315315315,-0.17000000000000004,-0.08816182811152631
