fold,accuracy,precision,recall,f1_score,statistical_parity,equal_opportunity,average_odds,wc_statistical_parity,wc_equal_opportunity,wc_average_odds,constraint,ratio_bound_slack
1,0.6148648648648649,0.6175914862874766,0.5763253654558003,0.5736869684674158,0.121391304347826,0.3214285714285714,0.166191089837997,0.121391304347826,0.3214285714285714,0.166191089837997,dp,1e-07
2,0.6013513513513513,0.5725247004414548,0.5492428301010751,0.5212739033667552,0.0630894308943089,0.0846153846153846,0.0550224689399947,0.0630894308943089,-0.1507936507936508,0.0550224689399947,dp,1e-07
3,0.581081081081081,0.5450202714613079,0.5425407925407926,0.5412434633950122,0.1081191350469196,0.3105590062111801,0.1309084339232001,0.1081191350469196,0.3105590062111801,0.1309084339232001,dp,1e-07
4,0.6258503401360545,0.6493506493506493,0.6007575757575757,0.5957529709721411,0.1026422764227642,0.1541218637992831,0.0886551347981922,0.1026422764227642,0.1541218637992831,0.0886551347981922,dp,1e-07
5,0.6326530612244898,0.5956779053084649,0.5637222484648087,0.5691444600280505,0.0806297709923664,-0.0324675324675324,0.00721169757867,0.0806297709923664,0.2352941176470588,0.1073170731707317,dp,1e-07
6,0.6122448979591837,0.5723873509943161,0.5726756595236062,0.5725013534982382,0.2656108597285067,0.625,0.4319968553459119,0.2656108597285067,0.625,0.4319968553459119,dp,1e-07
7,0.673469387755102,0.6436200785515854,0.6246956786366403,0.6271604938271604,0.2387158296249205,0.1212121212121212,0.1639393939393939,0.2387158296249205,-0.1976744186046511,0.1639393939393939,dp,1e-07
8,0.5850340136054422,0.5707070707070706,0.5565208065208065,0.5553363315440786,0.1629629629629629,0.1853146853146853,0.1385350022318107,0.1629629629629629,0.1853146853146853,0.1385350022318107,dp,1e-07
9,0.6462585034013606,0.6506381381381381,0.627393047204368,0.6209913812987553,0.1741818181818182,0.4285714285714286,0.2365079365079365,0.1741818181818182,0.4285714285714286,0.2365079365079365,dp,1e-07
10,0.5986394557823129,0.5587557603686636,0.5635451505016723,0.5587439744926485,0.1984126984126984,0.219047619047619,0.1943452380952381,0.1984126984126984,0.219047619047619,0.1943452380952381,dp,1e-07
1,0.6148648648648649,0.6175914862874766,0.5763253654558003,0.5736869684674158,0.121391304347826,0.3214285714285714,0.166191089837997,0.121391304347826,0.3214285714285714,0.166191089837997,dp,1e-06
2,0.6013513513513513,0.5725247004414548,0.5492428301010751,0.5212739033667552,0.0630894308943089,0.0846153846153846,0.0550224689399947,0.0630894308943089,-0.1507936507936508,0.0550224689399947,dp,1e-06
3,0.5743243243243243,0.5380411937788987,0.5374902874902875,0.5355110478446831,0.1003671970624234,0.3105590062111801,0.1261914527911246,0.1003671970624234,0.3105590062111801,0.1261914527911246,dp,1e-06
4,0.6258503401360545,0.6493506493506493,0.6007575757575757,0.5957529709721411,0.1026422764227642,0.1541218637992831,0.0886551347981922,0.1026422764227642,0.1541218637992831,0.0886551347981922,dp,1e-06
5,0.6326530612244898,0.5956779053084649,0.5637222484648087,0.5691444600280505,0.0806297709923664,-0.0324675324675324,0.00721169757867,0.0806297709923664,0.2352941176470588,0.1073170731707317,dp,1e-06
6,0.6054421768707483,0.5634728931830381,0.5598551467030934,0.5614207426609364,0.1479638009049773,0.125,0.1486635220125786,0.1479638009049773,0.125,0.1486635220125786,dp,1e-06
7,0.6802721088435374,0.6535055122011644,0.6351123453033071,0.6385044474596713,0.2304513668150031,0.0735930735930736,0.1401298701298701,0.2304513668150031,-0.1976744186046511,0.1401298701298701,dp,1e-06
8,0.5850340136054422,0.5719616204690832,0.5565208065208065,0.5556851246120993,0.1629629629629629,0.1853146853146853,0.1385350022318107,0.1629629629629629,0.1853146853146853,0.1385350022318107,dp,1e-06
9,0.6326530612244898,0.636904761904762,0.6112781348630404,0.6009868992986268,0.1527272727272727,0.3142857142857143,0.1904761904761904,0.1527272727272727,0.3142857142857143,0.1904761904761904,dp,1e-06
10,0.5986394557823129,0.5587557603686636,0.5635451505016723,0.5587439744926485,0.1984126984126984,0.219047619047619,0.1943452380952381,0.1984126984126984,0.219047619047619,0.1943452380952381,dp,1e-06
1,0.6148648648648649,0.6175914862874766,0.5763253654558003,0.5736869684674158,0.121391304347826,0.3214285714285714,0.166191089837997,0.121391304347826,0.3214285714285714,0.166191089837997,dp,1e-05
2,0.6013513513513513,0.5725247004414548,0.5492428301010751,0.5212739033667552,0.0630894308943089,0.0846153846153846,0.0550224689399947,0.0630894308943089,-0.1507936507936508,0.0550224689399947,dp,1e-05
3,0.581081081081081,0.5450202714613079,0.5425407925407926,0.5412434633950122,0.1081191350469196,0.3105590062111801,0.1309084339232001,0.1081191350469196,0.3105590062111801,0.1309084339232001,dp,1e-05
4,0.6190476190476191,0.6528166822284469,0.5924242424242424,0.5855125100887812,0.0193089430894308,0.043010752688172,-0.0002337540906966,0.0193089430894308,-0.0680272108843538,0.0334625322997416,dp,1e-05
5,0.6326530612244898,0.5956779053084649,0.5637222484648087,0.5691444600280505,0.0806297709923664,-0.0324675324675324,0.00721169757867,0.0806297709923664,0.2352941176470588,0.1073170731707317,dp,1e-05
6,0.6190476190476191,0.5798085862729012,0.5775776203079199,0.5786253536441892,0.2067873303167421,0.625,0.3986635220125786,0.2067873303167421,0.625,0.3986635220125786,dp,1e-05
7,0.673469387755102,0.6436200785515854,0.6246956786366403,0.6271604938271604,0.2387158296249205,0.1212121212121212,0.1639393939393939,0.2387158296249205,-0.1976744186046511,0.1639393939393939,dp,1e-05
8,0.5714285714285714,0.5595115239078088,0.5415594165594165,0.539304182331867,0.0888888888888888,0.0944055944055944,0.0618304567772653,0.0888888888888888,0.0944055944055944,0.0618304567772653,dp,1e-05
9,0.6394557823129252,0.6651641925326136,0.6178093395074528,0.6085440158016953,0.2221818181818181,0.4857142857142857,0.2873015873015873,0.2221818181818181,0.4857142857142857,0.2873015873015873,dp,1e-05
10,0.5986394557823129,0.5587557603686636,0.5635451505016723,0.5587439744926485,0.1984126984126984,0.219047619047619,0.1943452380952381,0.1984126984126984,0.219047619047619,0.1943452380952381,dp,1e-05
1,0.6148648648648649,0.6175914862874766,0.5763253654558003,0.5736869684674158,0.121391304347826,0.3214285714285714,0.166191089837997,0.121391304347826,0.3214285714285714,0.166191089837997,dp,0.0001
2,0.6013513513513513,0.5725247004414548,0.5492428301010751,0.5212739033667552,0.0630894308943089,0.0846153846153846,0.0550224689399947,0.0630894308943089,-0.1507936507936508,0.0550224689399947,dp,0.0001
3,0.581081081081081,0.5430796801764544,0.5425407925407926,0.5409226190476191,0.1003671970624234,0.3105590062111801,0.1261914527911246,0.1003671970624234,0.3105590062111801,0.1261914527911246,dp,0.0001
4,0.6190476190476191,0.6528166822284469,0.5924242424242424,0.5855125100887812,0.0193089430894308,0.043010752688172,-0.0002337540906966,0.0193089430894308,-0.0680272108843538,0.0334625322997416,dp,0.0001
5,0.6326530612244898,0.5956779053084649,0.5637222484648087,0.5691444600280505,0.0806297709923664,-0.0324675324675324,0.00721169757867,0.0806297709923664,0.2352941176470588,0.1073170731707317,dp,0.0001
6,0.6054421768707483,0.557044756919972,0.5519365946668944,0.5539226685651863,0.155656108597285,0.1666666666666666,0.1694968553459119,0.155656108597285,0.1666666666666666,0.1694968553459119,dp,0.0001
7,0.673469387755102,0.6436200785515854,0.6246956786366403,0.6271604938271604,0.2387158296249205,0.1212121212121212,0.1639393939393939,0.2387158296249205,-0.1976744186046511,0.1639393939393939,dp,0.0001
8,0.5714285714285714,0.5568376068376069,0.5415594165594165,0.5386181357405616,0.0888888888888888,0.0944055944055944,0.0618304567772653,0.0888888888888888,0.0944055944055944,0.0618304567772653,dp,0.0001
9,0.6394557823129252,0.6651641925326136,0.6178093395074528,0.6085440158016953,0.2221818181818181,0.4857142857142857,0.2873015873015873,0.2221818181818181,0.4857142857142857,0.2873015873015873,dp,0.0001
10,0.5986394557823129,0.5587557603686636,0.5635451505016723,0.5587439744926485,0.1984126984126984,0.219047619047619,0.1943452380952381,0.1984126984126984,0.219047619047619,0.1943452380952381,dp,0.0001
1,0.6148648648648649,0.6175914862874766,0.5763253654558003,0.5736869684674158,0.121391304347826,0.3214285714285714,0.166191089837997,0.121391304347826,0.3214285714285714,0.166191089837997,dp,0.001
2,0.6013513513513513,0.5725247004414548,0.5492428301010751,0.5212739033667552,0.0630894308943089,0.0846153846153846,0.0550224689399947,0.0630894308943089,-0.1507936507936508,0.0550224689399947,dp,0.001
3,0.581081081081081,0.5450202714613079,0.5425407925407926,0.5412434633950122,0.1081191350469196,0.3105590062111801,0.1309084339232001,0.1081191350469196,0.3105590062111801,0.1309084339232001,dp,0.001
4,0.6190476190476191,0.6528166822284469,0.5924242424242424,0.5855125100887812,0.0193089430894308,0.043010752688172,-0.0002337540906966,0.0193089430894308,-0.0680272108843538,0.0334625322997416,dp,0.001
5,0.6326530612244898,0.5956779053084649,0.5637222484648087,0.5691444600280505,0.0806297709923664,-0.0324675324675324,0.00721169757867,0.0806297709923664,0.2352941176470588,0.1073170731707317,dp,0.001
6,0.6258503401360545,0.5889895759298743,0.5852542758758075,0.5867165024351569,0.2809954751131222,0.625,0.4414308176100628,0.2809954751131222,0.625,0.4414308176100628,dp,0.001
